DS_Name, Operacion, TamanoDatos, Tiempo_Ejecucion_ns
SingleLLNoTail,PopBack,10000,63648
SingleLLWithTail,PushFront,10000,268
SingleLLWithTail,PushBack,10000,742
SingleLLWithTail,isEmpty,10000,351
SingleLLWithTail,AddAfter,10000,118537
SingleLLWithTail,AddBefore,10000,122305
SingleLLWithTail,Find,10000,116279
SingleLLWithTail,Erase,10000,121247
SingleLLWithTail,PopFront,10000,483
SingleLLWithTail,PopBack,10000,75779
DoublyLLNoTail,PushFront,10000,6176
DoublyLLNoTail,PushBack,10000,65205
DoublyLLNoTail,isEmpty,10000,2495
DoublyLLNoTail,AddAfter,10000,121803
DoublyLLNoTail,AddBefore,10000,122020
DoublyLLNoTail,Find,10000,121377
DoublyLLNoTail,Erase,10000,120253
DoublyLLNoTail,PopFront,10000,3633
DoublyLLNoTail,PopBack,10000,59535
DoublyLLWithTail,PushFront,10000,2555
DoublyLLWithTail,PushBack,10000,11083
DoublyLLWithTail,isEmpty,10000,3823
DoublyLLWithTail,AddAfter,10000,122044
DoublyLLWithTail,AddBefore,10000,121862
DoublyLLWithTail,Find,10000,121929
DoublyLLWithTail,Erase,10000,122543
DoublyLLWithTail,PopFront,10000,4545
DoublyLLWithTail,PopBack,10000,11977
Queue,Enqueue,10000,435
Queue,Dequeue,10000,1008
Queue,Delete,10000,126094
Queue,Front,10000,350
Queue,Size,10000,984
Queue,isEmpty,10000,360
Stack,Push,10000,898
Stack,Pop,10000,1653
Stack,Delete,10000,94003
Stack,Peek,10000,253
Stack,Size,10000,566
Stack,isEmpty,10000,482
SingleLLNoTail,PushFront,50000,10332
SingleLLNoTail,PushBack,50000,609777
SingleLLNoTail,isEmpty,50000,4328
SingleLLNoTail,AddAfter,50000,498483
SingleLLNoTail,AddBefore,50000,480618
SingleLLNoTail,Find,50000,451962
SingleLLNoTail,Erase,50000,473687
SingleLLNoTail,PopFront,50000,3711
SingleLLNoTail,PopBack,50000,376460
SingleLLWithTail,PushFront,50000,3188
SingleLLWithTail,PushBack,50000,7346
